Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Season,Review Rating,Subscription Status,Shipping Type,Previous Purchases,Payment Method,Frequency of Purchases
55.0,Male,Blouse,Clothing,53.0,Kentucky,Winter,3.1,Yes,Express,14,Venmo,Fortnightly
19.0,Male,Sweater,Clothing,64.0,Maine,Winter,3.1,Yes,Express,2,Cash,Fortnightly
50.0,Male,Jeans,Clothing,73.0,Massachusetts,Spring,3.1,Yes,Free Shipping,23,Credit Card,Weekly
21.0,Male,Sandals,Footwear,90.0,Rhode Island,Spring,3.5,Yes,Next Day Air,49,PayPal,Weekly
45.0,Male,Blouse,Clothing,49.0,Oregon,Spring,2.7,Yes,Free Shipping,31,PayPal,Annually
46.0,Male,Sneakers,Footwear,20.0,Wyoming,Summer,2.9,Yes,Standard,14,Venmo,Weekly
63.0,Male,Shirt,Clothing,85.0,Montana,Fall,3.2,Yes,Free Shipping,49,Cash,Quarterly
27.0,Male,Shorts,Clothing,34.0,Louisiana,Winter,3.2,Yes,Free Shipping,19,Credit Card,Weekly
26.0,Male,Coat,Outerwear,97.0,West Virginia,Summer,2.6,Yes,Express,8,Venmo,Annually
57.0,Male,Handbag,Accessories,31.0,Missouri,Spring,4.8,Yes,2-Day Shipping,4,Cash,Quarterly
53.0,Male,Shoes,Footwear,34.0,Arkansas,Fall,4.1,Yes,Store Pickup,26,Bank Transfer,Bi-Weekly
30.0,Male,Shorts,Clothing,68.0,Hawaii,Winter,4.9,Yes,Store Pickup,10,Bank Transfer,Fortnightly
61.0,Male,Coat,Outerwear,72.0,Delaware,Winter,4.5,Yes,Express,37,Venmo,Fortnightly
65.0,Male,Dress,Clothing,51.0,New Hampshire,Spring,4.7,Yes,Express,31,PayPal,Weekly
64.0,Male,Coat,Outerwear,53.0,New York,Winter,4.7,Yes,Free Shipping,34,Debit Card,Weekly
64.0,Male,Skirt,Clothing,81.0,Rhode Island,Winter,2.8,Yes,Store Pickup,8,PayPal,Monthly
25.0,Male,Sunglasses,Accessories,36.0,Alabama,Spring,4.1,Yes,Next Day Air,44,Debit Card,Bi-Weekly
53.0,Male,Dress,Clothing,38.0,Mississippi,Winter,4.7,Yes,2-Day Shipping,36,Venmo,Quarterly
52.0,Male,Sweater,Clothing,48.0,Montana,Summer,4.6,Yes,Free Shipping,17,Cash,Weekly
66.0,Male,Pants,Clothing,90.0,Rhode Island,Summer,3.3,Yes,Standard,46,Debit Card,Bi-Weekly
21.0,Male,Pants,Clothing,51.0,Louisiana,Winter,2.8,Yes,Express,50,Cash,Every 3 Months
31.0,Male,Pants,Clothing,62.0,North Carolina,Winter,4.1,Yes,Store Pickup,22,Debit Card,Quarterly
56.0,Male,Pants,Clothing,37.0,California,Summer,3.2,Yes,Store Pickup,32,Debit Card,Annually
31.0,Male,Pants,Clothing,88.0,Oklahoma,Winter,4.4,Yes,Express,40,Credit Card,Weekly
44.0,Male,Jacket,Outerwear,22.0,Florida,Fall,2.9,Yes,Store Pickup,16,Debit Card,Weekly
18.0,Male,Hoodie,Clothing,25.0,Texas,Summer,3.6,Yes,Express,14,PayPal,Annually
38.0,Male,Jewelry,Accessories,20.0,Nevada,Spring,3.6,Yes,Next Day Air,13,Credit Card,Annually
56.0,Male,Shorts,Clothing,56.0,Kentucky,Summer,5.0,Yes,Next Day Air,7,Bank Transfer,Every 3 Months
54.0,Male,Handbag,Accessories,94.0,North Carolina,Fall,4.4,Yes,Free Shipping,41,PayPal,Every 3 Months
31.0,Male,Dress,Clothing,48.0,Wyoming,Fall,4.1,Yes,Store Pickup,14,Credit Card,Weekly
57.0,Male,Jewelry,Accessories,31.0,North Carolina,Winter,4.7,Yes,Standard,16,Credit Card,Monthly
33.0,Male,Dress,Clothing,79.0,West Virginia,Winter,4.7,Yes,Store Pickup,45,Venmo,Monthly
36.0,Male,Jacket,Outerwear,67.0,Kansas,Summer,4.9,Yes,Free Shipping,37,Venmo,Annually
54.0,Male,Pants,Clothing,38.0,Colorado,Summer,3.3,Yes,Store Pickup,45,Cash,Quarterly
36.0,Male,T-shirt,Clothing,91.0,North Dakota,Spring,4.6,Yes,2-Day Shipping,38,PayPal,Quarterly
54.0,Male,Blouse,Clothing,33.0,Massachusetts,Summer,4.0,Yes,2-Day Shipping,48,Credit Card,Bi-Weekly
35.0,Male,T-shirt,Clothing,69.0,Illinois,Winter,4.6,Yes,Free Shipping,44,PayPal,Fortnightly
35.0,Male,Jeans,Clothing,45.0,Indiana,Summer,2.8,Yes,Store Pickup,10,PayPal,Weekly
29.0,Male,Dress,Clothing,37.0,Florida,Winter,3.7,Yes,2-Day Shipping,44,Venmo,Every 3 Months
70.0,Male,Pants,Clothing,60.0,Arizona,Summer,4.2,Yes,Express,18,Credit Card,Monthly
69.0,Male,Handbag,Accessories,76.0,Louisiana,Winter,4.6,Yes,Next Day Air,31,Debit Card,Quarterly
67.0,Male,Scarf,Accessories,39.0,Alaska,Spring,4.5,Yes,Standard,40,Venmo,Annually
20.0,Male,Coat,Outerwear,100.0,Tennessee,Spring,4.1,Yes,Free Shipping,15,PayPal,Annually
25.0,Male,Scarf,Accessories,69.0,Ohio,Fall,3.7,Yes,Store Pickup,19,PayPal,Fortnightly
39.0,Male,Hat,Accessories,53.0,Kentucky,Summer,4.6,Yes,Free Shipping,45,PayPal,Weekly
50.0,Male,Socks,Clothing,21.0,Tennessee,Fall,2.9,Yes,2-Day Shipping,25,PayPal,Annually
57.0,Male,Shirt,Clothing,43.0,California,Summer,2.9,Yes,Store Pickup,45,Cash,Quarterly
55.0,Male,Jewelry,Accessories,54.0,Montana,Winter,4.5,Yes,Free Shipping,36,Cash,Weekly
42.0,Male,Shirt,Clothing,55.0,Nevada,Summer,2.7,Yes,Store Pickup,38,Cash,Monthly
68.0,Male,Hoodie,Clothing,30.0,New Jersey,Spring,4.6,Yes,Next Day Air,34,Debit Card,Bi-Weekly
49.0,Male,Blouse,Clothing,28.0,Maryland,Spring,3.7,Yes,Store Pickup,39,Debit Card,Bi-Weekly
59.0,Male,Skirt,Clothing,59.0,Vermont,Winter,4.7,Yes,2-Day Shipping,7,Credit Card,Quarterly
42.0,Male,T-shirt,Clothing,20.0,Alaska,Summer,2.6,Yes,Free Shipping,26,Credit Card,Weekly
29.0,Male,Skirt,Clothing,24.0,Mississippi,Winter,3.9,Yes,Next Day Air,35,Credit Card,Weekly
47.0,Male,Coat,Outerwear,94.0,New Mexico,Summer,4.2,Yes,Next Day Air,35,Debit Card,Bi-Weekly
40.0,Male,Jacket,Outerwear,28.0,South Carolina,Winter,3.0,Yes,2-Day Shipping,49,Credit Card,Annually
41.0,Male,Backpack,Accessories,73.0,Mississippi,Summer,4.7,Yes,Store Pickup,46,Credit Card,Weekly
21.0,Male,Coat,Outerwear,64.0,West Virginia,Summer,4.4,Yes,Store Pickup,17,Debit Card,Fortnightly
69.0,Male,Hoodie,Clothing,54.0,Missouri,Summer,4.2,Yes,Free Shipping,29,Venmo,Monthly
63.0,Male,Belt,Accessories,79.0,Louisiana,Spring,4.6,Yes,Standard,4,Debit Card,Weekly
50.0,Male,Sweater,Clothing,37.0,Idaho,Summer,4.0,Yes,Express,17,Cash,Weekly
55.0,Male,Scarf,Accessories,68.0,Texas,Winter,4.7,Yes,Store Pickup,21,Credit Card,Every 3 Months
30.0,Male,Sneakers,Footwear,21.0,Mississippi,Spring,3.8,Yes,Free Shipping,31,Credit Card,Fortnightly
33.0,Male,Sunglasses,Accessories,79.0,Arizona,Winter,2.7,Yes,2-Day Shipping,43,Credit Card,Weekly
65.0,Male,Boots,Footwear,83.0,Alabama,Fall,4.8,Yes,Standard,18,Debit Card,Fortnightly
65.0,Male,Backpack,Accessories,36.0,New Jersey,Spring,4.8,Yes,2-Day Shipping,44,Venmo,Every 3 Months
31.0,Male,Blouse,Clothing,94.0,Pennsylvania,Winter,4.7,Yes,2-Day Shipping,3,Venmo,Every 3 Months
45.0,Male,Coat,Outerwear,33.0,Connecticut,Winter,4.4,Yes,Store Pickup,49,Debit Card,Monthly
57.0,Male,Handbag,Accessories,46.0,Utah,Summer,3.9,Yes,Next Day Air,21,Cash,Every 3 Months
48.0,Male,Belt,Accessories,70.0,Tennessee,Summer,4.4,Yes,Express,5,Cash,Weekly
22.0,Male,Belt,Accessories,29.0,Alabama,Fall,4.2,Yes,Express,32,Debit Card,Every 3 Months
